,index,section,relative_order,first_to_perform,last_to_perform,relative_rank
0,36,grand-final,0.88,0,0,0.96
1,37,grand-final,0.4,0,0,0.92
2,38,grand-final,0.36,0,0,0.8
3,39,grand-final,0.24,0,0,0.08
4,40,grand-final,0.52,0,0,0.04
5,41,grand-final,0.48,0,0,1.0
6,42,grand-final,0.44,0,0,0.6
7,43,grand-final,0.92,0,0,0.56
8,44,grand-final,1.0,0,1,0.52
9,45,grand-final,0.56,0,0,0.48
10,46,grand-final,0.84,0,0,0.44
11,47,grand-final,0.6,0,0,0.4
12,48,grand-final,0.2,0,0,0.36
13,49,grand-final,0.08,0,0,0.32
14,50,grand-final,0.64,0,0,0.28
15,51,grand-final,0.8,0,0,0.88
16,52,grand-final,0.96,0,0,0.84
17,53,grand-final,0.76,0,0,0.76
18,54,grand-final,0.68,0,0,0.72
19,55,grand-final,0.12,0,0,0.68
20,56,grand-final,0.28,0,0,0.64
21,57,grand-final,0.32,0,0,0.24
22,58,grand-final,0.16,0,0,0.2
23,59,grand-final,0.04,1,0,0.16
24,60,grand-final,0.72,0,0,0.12
25,94,grand-final,0.9230769230769231,0,0,1.0
26,95,grand-final,0.7692307692307693,0,0,0.9615384615384616
27,96,grand-final,0.7307692307692307,0,0,0.8461538461538461
28,97,grand-final,0.23076923076923078,0,0,0.7692307692307693
29,98,grand-final,0.6923076923076923,0,0,0.7307692307692307
30,99,grand-final,0.19230769230769232,0,0,0.6923076923076923
31,100,grand-final,0.6538461538461539,0,0,0.6153846153846154
32,101,grand-final,0.9615384615384616,0,0,0.5
33,102,grand-final,0.3076923076923077,0,0,0.46153846153846156
34,103,grand-final,0.038461538461538464,1,0,0.4230769230769231
35,104,grand-final,0.11538461538461539,0,0,0.38461538461538464
36,105,grand-final,0.8461538461538461,0,0,0.34615384615384615
37,106,grand-final,0.15384615384615385,0,0,0.3076923076923077
38,107,grand-final,0.8076923076923077,0,0,0.2692307692307692
39,108,grand-final,0.8846153846153846,0,0,0.15384615384615385
40,109,grand-final,0.46153846153846156,0,0,0.8846153846153846
41,110,grand-final,0.6153846153846154,0,0,0.8076923076923077
42,111,grand-final,0.38461538461538464,0,0,0.6538461538461539
43,112,grand-final,0.2692307692307692,0,0,0.5769230769230769
44,113,grand-final,0.5384615384615384,0,0,0.5384615384615384
45,114,grand-final,1.0,0,1,0.19230769230769232
46,115,grand-final,0.4230769230769231,0,0,0.9230769230769231
47,116,grand-final,0.07692307692307693,0,0,0.23076923076923078
48,117,grand-final,0.5,0,0,0.11538461538461539
49,118,grand-final,0.5769230769230769,0,0,0.07692307692307693
50,119,grand-final,0.34615384615384615,0,0,0.038461538461538464
51,196,grand-final,0.8461538461538461,0,0,0.9615384615384616
52,197,grand-final,1.0,0,1,0.19230769230769232
53,198,grand-final,0.5384615384615384,0,0,0.15384615384615385
54,199,grand-final,0.6153846153846154,0,0,0.038461538461538464
55,200,grand-final,0.9615384615384616,0,0,0.6923076923076923
56,201,grand-final,0.9230769230769231,0,0,0.8846153846153846
57,202,grand-final,0.34615384615384615,0,0,0.8461538461538461
58,203,grand-final,0.5769230769230769,0,0,0.8076923076923077
59,204,grand-final,0.3076923076923077,0,0,0.7692307692307693
60,205,grand-final,0.7692307692307693,0,0,0.7307692307692307
61,206,grand-final,0.6538461538461539,0,0,0.6538461538461539
62,207,grand-final,0.4230769230769231,0,0,0.5384615384615384
63,208,grand-final,0.038461538461538464,1,0,0.5
64,209,grand-final,0.38461538461538464,0,0,0.46153846153846156
65,210,grand-final,0.8076923076923077,0,0,0.4230769230769231
66,211,grand-final,0.11538461538461539,0,0,0.6153846153846154
67,212,grand-final,0.23076923076923078,0,0,0.5769230769230769
68,213,grand-final,0.46153846153846156,0,0,1.0
69,214,grand-final,0.19230769230769232,0,0,0.9230769230769231
70,215,grand-final,0.07692307692307693,0,0,0.38461538461538464
71,216,grand-final,0.8846153846153846,0,0,0.34615384615384615
72,217,grand-final,0.2692307692307692,0,0,0.3076923076923077
73,218,grand-final,0.6923076923076923,0,0,0.2692307692307692
74,219,grand-final,0.5,0,0,0.23076923076923078
75,220,grand-final,0.7307692307692307,0,0,0.11538461538461539
76,221,grand-final,0.15384615384615385,0,0,0.07692307692307693
77,259,grand-final,0.8846153846153846,0,0,0.34615384615384615
78,260,grand-final,0.7307692307692307,0,0,0.6538461538461539
79,261,grand-final,0.038461538461538464,1,0,0.38461538461538464
80,262,grand-final,0.2692307692307692,0,0,0.46153846153846156
81,263,grand-final,0.11538461538461539,0,0,0.19230769230769232
82,264,grand-final,0.23076923076923078,0,0,0.7307692307692307
83,265,grand-final,0.8461538461538461,0,0,1.0
84,266,grand-final,0.6153846153846154,0,0,0.2692307692307692
85,267,grand-final,0.5769230769230769,0,0,0.6923076923076923
86,268,grand-final,0.38461538461538464,0,0,0.3076923076923077
87,269,grand-final,0.5384615384615384,0,0,0.8076923076923077
88,270,grand-final,0.9615384615384616,0,0,0.9615384615384616
89,271,grand-final,0.9230769230769231,0,0,0.4230769230769231
90,272,grand-final,0.46153846153846156,0,0,0.6153846153846154
91,273,grand-final,0.8076923076923077,0,0,0.23076923076923078
92,274,grand-final,0.7692307692307693,0,0,0.7692307692307693
93,275,grand-final,0.15384615384615385,0,0,0.5769230769230769
94,276,grand-final,0.19230769230769232,0,0,0.9230769230769231
95,277,grand-final,0.6923076923076923,0,0,0.5
96,278,grand-final,0.6538461538461539,0,0,0.07692307692307693
97,279,grand-final,0.3076923076923077,0,0,0.038461538461538464
98,280,grand-final,0.34615384615384615,0,0,0.11538461538461539
99,281,grand-final,0.07692307692307693,0,0,0.15384615384615385
100,282,grand-final,1.0,0,1,0.8461538461538461
101,283,grand-final,0.5,0,0,0.5384615384615384
102,284,grand-final,0.4230769230769231,0,0,0.8846153846153846
103,321,grand-final,1.0,0,1,0.5769230769230769
104,322,grand-final,0.8076923076923077,0,0,0.07692307692307693
105,323,grand-final,0.6153846153846154,0,0,0.038461538461538464
106,324,grand-final,0.6923076923076923,0,0,0.46153846153846156
107,325,grand-final,0.34615384615384615,0,0,0.8076923076923077
108,326,grand-final,0.8461538461538461,0,0,0.11538461538461539
109,327,grand-final,0.07692307692307693,0,0,0.19230769230769232
110,328,grand-final,0.5769230769230769,0,0,0.3076923076923077
111,329,grand-final,0.2692307692307692,0,0,0.9230769230769231
112,330,grand-final,0.19230769230769232,0,0,0.34615384615384615
113,331,grand-final,0.9230769230769231,0,0,0.8461538461538461
114,332,grand-final,0.8846153846153846,0,0,0.8846153846153846
115,333,grand-final,0.5384615384615384,0,0,0.6923076923076923
116,334,grand-final,0.46153846153846156,0,0,0.5
117,335,grand-final,0.7307692307692307,0,0,0.23076923076923078
118,336,grand-final,0.4230769230769231,0,0,1.0
119,337,grand-final,0.6538461538461539,0,0,0.6538461538461539
120,338,grand-final,0.11538461538461539,0,0,0.38461538461538464
121,339,grand-final,0.5,0,0,0.5384615384615384
122,340,grand-final,0.9615384615384616,0,0,0.9615384615384616
123,341,grand-final,0.038461538461538464,1,0,0.15384615384615385
124,342,grand-final,0.15384615384615385,0,0,0.4230769230769231
125,343,grand-final,0.3076923076923077,0,0,0.7307692307692307
126,344,grand-final,0.7692307692307693,0,0,0.7692307692307693
127,345,grand-final,0.38461538461538464,0,0,0.2692307692307692
128,346,grand-final,0.23076923076923078,0,0,0.6153846153846154
129,383,grand-final,0.5769230769230769,0,0,0.34615384615384615
130,384,grand-final,0.46153846153846156,0,0,0.7307692307692307
131,385,grand-final,0.038461538461538464,1,0,0.6538461538461539
132,386,grand-final,0.8076923076923077,0,0,1.0
133,387,grand-final,0.6153846153846154,0,0,0.6923076923076923
134,388,grand-final,0.5,0,0,0.9615384615384616
135,389,grand-final,0.8846153846153846,0,0,0.2692307692307692
136,390,grand-final,0.3076923076923077,0,0,0.8846153846153846
137,391,grand-final,0.7692307692307693,0,0,0.46153846153846156
138,392,grand-final,0.2692307692307692,0,0,0.5
139,393,grand-final,0.9230769230769231,0,0,0.5384615384615384
140,394,grand-final,0.11538461538461539,0,0,0.6153846153846154
141,395,grand-final,0.6923076923076923,0,0,0.9230769230769231
142,396,grand-final,0.19230769230769232,0,0,0.3076923076923077
143,397,grand-final,0.07692307692307693,0,0,0.07692307692307693
144,398,grand-final,1.0,0,1,0.7692307692307693
145,399,grand-final,0.8461538461538461,0,0,0.5769230769230769
146,400,grand-final,0.5384615384615384,0,0,0.23076923076923078
147,401,grand-final,0.6538461538461539,0,0,0.15384615384615385
148,402,grand-final,0.15384615384615385,0,0,0.38461538461538464
149,403,grand-final,0.9615384615384616,0,0,0.11538461538461539
150,404,grand-final,0.4230769230769231,0,0,0.8076923076923077
151,405,grand-final,0.23076923076923078,0,0,0.4230769230769231
152,406,grand-final,0.7307692307692307,0,0,0.19230769230769232
153,407,grand-final,0.38461538461538464,0,0,0.038461538461538464
154,408,grand-final,0.34615384615384615,0,0,0.8461538461538461
155,442,grand-final,0.4444444444444444,0,0,0.8518518518518519
156,443,grand-final,0.7777777777777778,0,0,0.25925925925925924
157,444,grand-final,0.07407407407407407,0,0,0.1111111111111111
158,445,grand-final,1.0,0,1,0.9259259259259259
159,446,grand-final,0.18518518518518517,0,0,0.14814814814814814
160,447,grand-final,0.2222222222222222,0,0,0.4444444444444444
161,448,grand-final,0.8148148148148148,0,0,0.2962962962962963
162,449,grand-final,0.48148148148148145,0,0,0.8888888888888888
163,450,grand-final,0.8518518518518519,0,0,0.6296296296296297
164,451,grand-final,0.9629629629629629,0,0,0.4074074074074074
165,452,grand-final,0.9259259259259259,0,0,0.9629629629629629
166,453,grand-final,0.14814814814814814,0,0,0.7777777777777778
167,454,grand-final,0.7407407407407407,0,0,0.48148148148148145
168,455,grand-final,0.5555555555555556,0,0,0.3333333333333333
169,456,grand-final,0.2962962962962963,0,0,0.6666666666666666
170,457,grand-final,0.37037037037037035,0,0,1.0
171,458,grand-final,0.5925925925925926,0,0,0.5555555555555556
172,459,grand-final,0.5185185185185185,0,0,0.07407407407407407
173,460,grand-final,0.6296296296296297,0,0,0.037037037037037035
174,461,grand-final,0.4074074074074074,0,0,0.2222222222222222
175,462,grand-final,0.1111111111111111,0,0,0.7037037037037037
176,463,grand-final,0.6666666666666666,0,0,0.18518518518518517
177,464,grand-final,0.25925925925925924,0,0,0.37037037037037035
178,465,grand-final,0.7037037037037037,0,0,0.8148148148148148
179,466,grand-final,0.037037037037037035,1,0,0.5185185185185185
180,467,grand-final,0.8888888888888888,0,0,0.5925925925925926
181,468,grand-final,0.3333333333333333,0,0,0.7407407407407407
182,500,grand-final,1.0,0,1,0.38461538461538464
183,501,grand-final,0.6153846153846154,0,0,0.23076923076923078
184,502,grand-final,0.46153846153846156,0,0,0.34615384615384615
185,503,grand-final,0.8846153846153846,0,0,0.6923076923076923
186,504,grand-final,0.5384615384615384,0,0,0.038461538461538464
187,505,grand-final,0.7307692307692307,0,0,0.6538461538461539
188,506,grand-final,0.9230769230769231,0,0,0.9615384615384616
189,507,grand-final,0.038461538461538464,1,0,0.8076923076923077
190,508,grand-final,0.9615384615384616,0,0,0.11538461538461539
191,509,grand-final,0.3076923076923077,0,0,0.3076923076923077
192,510,grand-final,0.8076923076923077,0,0,0.8461538461538461
193,511,grand-final,0.2692307692307692,0,0,0.8846153846153846
194,512,grand-final,0.11538461538461539,0,0,0.19230769230769232
195,513,grand-final,0.5769230769230769,0,0,0.7692307692307693
196,514,grand-final,0.15384615384615385,0,0,0.46153846153846156
197,515,grand-final,0.5,0,0,0.9230769230769231
198,516,grand-final,0.38461538461538464,0,0,0.2692307692307692
199,517,grand-final,0.7692307692307693,0,0,0.5384615384615384
200,518,grand-final,0.07692307692307693,0,0,0.4230769230769231
201,519,grand-final,0.6538461538461539,0,0,0.07692307692307693
202,520,grand-final,0.23076923076923078,0,0,0.5769230769230769
203,521,grand-final,0.6923076923076923,0,0,0.6153846153846154
204,522,grand-final,0.8461538461538461,0,0,0.15384615384615385
205,523,grand-final,0.34615384615384615,0,0,0.5
206,524,grand-final,0.4230769230769231,0,0,1.0
207,525,grand-final,0.19230769230769232,0,0,0.7307692307692307
208,559,grand-final,0.46153846153846156,0,0,0.34615384615384615
209,560,grand-final,0.5,0,0,0.6923076923076923
210,561,grand-final,0.23076923076923078,0,0,0.5769230769230769
211,562,grand-final,0.6538461538461539,0,0,0.6538461538461539
212,563,grand-final,0.15384615384615385,0,0,0.11538461538461539
213,564,grand-final,0.8461538461538461,0,0,0.9230769230769231
214,565,grand-final,0.38461538461538464,0,0,0.8461538461538461
215,566,grand-final,0.5384615384615384,0,0,0.5384615384615384
216,567,grand-final,0.9615384615384616,0,0,0.46153846153846156
217,568,grand-final,0.7692307692307693,0,0,0.9615384615384616
218,569,grand-final,1.0,0,1,0.038461538461538464
219,570,grand-final,0.11538461538461539,0,0,0.6153846153846154
220,571,grand-final,0.9230769230769231,0,0,0.8846153846153846
221,572,grand-final,0.2692307692307692,0,0,0.2692307692307692
222,573,grand-final,0.3076923076923077,0,0,0.4230769230769231
223,574,grand-final,0.34615384615384615,0,0,0.7307692307692307
224,575,grand-final,0.07692307692307693,0,0,0.19230769230769232
225,576,grand-final,0.7307692307692307,0,0,0.38461538461538464
